City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chimbote,PE,-9.0853,-78.5783,62.92,94,31,6.46,scattered clouds
80,Bathsheba,BB,13.2167,-59.5167,80.6,65,75,19.57,broken clouds
81,Baloda,IN,22.15,82.4833,104.58,21,7,7.0,clear sky
82,Ontario,US,34.0633,-117.6509,57.99,88,90,5.75,overcast clouds
83,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,81,75,6.91,broken clouds
84,Mount Isa,AU,-20.7333,139.5,68.0,17,0,9.22,clear sky
85,Humaita,BR,-7.5061,-63.0208,72.52,86,100,2.21,light rain
86,Dunedin,NZ,-45.8742,170.5036,52.0,69,100,8.01,light rain
87,Antofagasta,CL,-23.65,-70.4,60.8,77,90,5.75,overcast clouds
88,Mukerian,IN,31.9506,75.6158,106.25,9,6,11.41,clear sky
89,North Bend,US,43.4065,-124.2243,50.0,100,90,3.44,mist
90,Obo,CF,5.3998,26.4869,90.03,49,30,2.68,scattered clouds
91,Waingapu,ID,-9.6567,120.2641,79.02,77,18,11.81,few clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,75.99,90,36,8.01,scattered clouds
93,Charters Towers,AU,-20.1,146.2667,64.51,54,0,7.05,clear sky
94,Damietta,EG,31.4165,31.8133,75.2,64,40,13.8,scattered clouds
95,Te Anau,NZ,-45.4167,167.7167,40.48,89,75,5.61,broken clouds
96,Mumford,GH,5.2618,-0.759,83.97,70,87,7.9,overcast clouds
97,Souillac,MU,-20.5167,57.5167,82.4,57,40,14.97,scattered clouds
98,Morinville,CA,53.8001,-113.652,54.0,87,90,12.66,overcast clouds
99,Mahebourg,MU,-20.4081,57.7,82.4,57,40,14.97,scattered clouds
100,Maniitsoq,GL,65.4167,-52.9,35.87,72,5,3.89,clear sky
101,Grindavik,IS,63.8424,-22.4338,41.0,60,75,11.5,broken clouds
102,Kibala,TD,9.1104,18.3463,93.2,38,20,6.91,few clouds
103,Beidao,CN,34.5686,105.8933,73.04,33,34,0.4,scattered clouds
104,East London,ZA,-33.0153,27.9116,66.2,42,0,17.27,clear sky
105,Nuuk,GL,64.1835,-51.7216,33.8,93,40,4.61,scattered clouds
106,Cravo Norte,CO,6.3017,-70.2041,73.8,96,100,4.63,overcast clouds
107,Ankazoabo,MG,-22.2833,44.5167,86.11,23,0,6.35,clear sky
108,Luderitz,NA,-26.6481,15.1594,72.21,43,4,10.92,clear sky
109,Lavrentiya,RU,65.5833,-171.0,29.89,88,100,1.19,overcast clouds
110,Jacareacanga,BR,-6.2222,-57.7528,74.77,79,100,1.99,overcast clouds
111,Ust-Tarka,RU,55.5672,75.705,86.95,22,33,17.11,scattered clouds
112,Goya,AR,-29.14,-59.2626,56.53,91,9,3.76,light rain
113,Saint-Augustin,CA,51.226,-58.6502,38.68,71,16,2.46,few clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,15.75,92,16,10.16,few clouds
115,Paamiut,GL,61.994,-49.6678,35.74,50,71,9.53,broken clouds
116,Muzaffarabad,PK,34.37,73.4711,87.13,32,3,2.17,clear sky
117,Itarema,BR,-2.9248,-39.9167,75.87,87,9,8.81,clear sky
118,Dicabisagan,PH,17.0818,122.4157,82.99,75,12,5.57,few clouds
119,Sakakah,SA,29.9697,40.2064,98.6,6,0,4.61,clear sky
120,San Ramon,US,37.7799,-121.978,53.6,76,90,13.8,overcast clouds
121,Pennagaram,IN,12.1333,77.9,91.31,43,70,7.36,broken clouds
122,Baherden,TM,38.4362,57.4316,93.18,8,0,13.22,clear sky
123,Hit,IQ,33.6416,42.8251,102.25,6,6,12.91,clear sky
124,Camden,US,39.7835,-74.9663,48.99,100,1,3.02,clear sky
125,Kahului,US,20.8947,-156.47,71.6,73,75,8.05,broken clouds
126,Muswellbrook,AU,-32.2667,150.9,48.99,64,6,2.13,clear sky
127,Mecca,SA,21.4267,39.8261,101.55,5,0,8.66,clear sky
128,Karwar,IN,14.8,74.1333,82.69,81,96,15.21,overcast clouds
129,Moron,AR,-34.6534,-58.6198,50.0,100,90,2.3,fog
130,Hovd,MN,48.0056,91.6419,69.3,18,62,11.65,broken clouds
131,Fort Nelson,CA,58.8053,-122.7002,35.6,100,75,2.3,fog
132,Mandla,IN,22.6,80.3833,102.04,23,54,10.83,broken clouds
133,Wasilla,US,61.5814,-149.4394,44.6,70,90,4.61,overcast clouds
134,Shingu,JP,33.7333,135.9833,73.0,94,75,5.75,mist
135,Gamba,GA,-2.65,10.0,83.32,74,69,5.59,light rain
136,Vardo,NO,70.3705,31.1107,39.36,97,100,7.61,overcast clouds
137,Busselton,AU,-33.65,115.3333,63.0,90,53,9.06,broken clouds
138,Stephenville,US,32.2207,-98.2023,63.0,94,90,6.91,moderate rain
139,Cherdyn,RU,60.403,56.4787,71.26,46,44,11.81,scattered clouds
140,Haines Junction,CA,60.7522,-137.5108,33.8,100,100,1.14,overcast clouds
141,Xining,CN,36.6167,101.7667,56.73,51,66,15.12,broken clouds
142,Seoul,KR,37.5683,126.9778,64.4,77,40,1.14,scattered clouds
143,Geraldton,AU,-28.7667,114.6,73.4,73,98,4.61,overcast clouds
144,Sitka,US,57.0531,-135.33,37.4,87,20,3.44,few clouds
145,Labuan,MY,5.2767,115.2417,87.8,74,40,8.05,heavy intensity rain
146,Berlevag,NO,70.8578,29.0864,38.93,95,100,7.78,overcast clouds
147,Thompson,CA,55.7435,-97.8558,26.6,80,90,4.61,overcast clouds
148,Pontal Do Parana,BR,-25.6533,-48.5128,55.99,99,11,2.84,few clouds
149,Ponta Do Sol,PT,32.6667,-17.1,69.8,64,20,20.71,few clouds
150,Rocha,UY,-34.4833,-54.3333,45.88,84,9,5.39,clear sky
151,Port Macquarie,AU,-31.4333,152.9167,53.01,88,2,8.75,clear sky
152,Hasaki,JP,35.7333,140.8333,75.2,83,75,17.27,heavy intensity rain
153,Tshikapa,CD,-6.4167,20.8,89.19,41,78,5.79,broken clouds
154,Idar-Oberstein,DE,49.7,7.3,57.0,93,40,12.66,scattered clouds
155,East Wenatchee Bench,US,47.4257,-120.2812,64.4,45,1,16.11,clear sky
156,Pahrump,US,36.2083,-115.9839,55.0,67,52,0.98,broken clouds
157,Tuatapere,NZ,-46.1333,167.6833,43.0,87,69,5.99,broken clouds
158,San Patricio,US,28.017,-97.5169,77.0,94,90,13.8,overcast clouds
159,Terrace Bay,CA,48.7834,-87.1,48.2,93,99,4.61,overcast clouds
160,Lichtenburg,ZA,-26.152,26.1597,65.98,22,18,8.68,few clouds
161,Mackay,AU,-21.15,149.2,66.2,72,40,6.91,scattered clouds
162,Behbahan,IR,30.5959,50.2417,111.2,8,0,9.22,clear sky
163,Talavera,PH,15.6167,120.9333,91.4,49,75,6.91,broken clouds
164,Tual,ID,-5.6667,132.75,83.21,78,87,18.63,overcast clouds
165,Shangrao,CN,28.4532,117.9686,66.61,92,100,2.51,light rain
166,Leningradskiy,RU,69.3833,178.4167,30.16,90,100,9.86,overcast clouds
167,Harboore,DK,56.6175,8.1807,54.0,89,90,7.78,overcast clouds
168,Saint-Georges,GD,12.0564,-61.7485,80.6,83,20,16.11,few clouds
169,Pasir Gudang,MY,1.4584,103.8805,86.0,83,75,2.3,moderate rain
170,Port Hardy,CA,50.6996,-127.4199,48.2,93,90,6.91,moderate rain
171,Castro,BR,-24.7911,-50.0119,50.83,94,0,2.86,clear sky
172,Mahibadhoo,MV,3.7833,72.9667,84.72,75,50,13.87,scattered clouds
173,Tyulgan,RU,52.3405,56.166,85.71,23,7,7.85,clear sky
174,Tilichiki,RU,60.4667,166.1,31.51,98,100,7.74,light snow
175,Etzatlan,MX,20.7667,-104.0833,66.0,55,0,7.0,clear sky
176,Cherskiy,RU,68.75,161.3,32.31,91,40,2.95,scattered clouds
177,Henties Bay,NA,-22.116,14.2845,68.79,62,30,7.38,scattered clouds
178,Hofn,IS,64.2539,-15.2082,39.2,48,90,20.71,overcast clouds
179,Ust-Kuyga,RU,70.0167,135.6,37.87,91,7,5.14,clear sky
180,Kostroma,RU,57.7708,40.9344,75.2,41,0,6.71,clear sky
181,Shenkursk,RU,62.1091,42.896,68.05,47,70,4.81,broken clouds
182,Noumea,NC,-22.2763,166.4572,77.0,83,75,4.61,broken clouds
183,Hilo,US,19.7297,-155.09,75.2,69,75,6.91,light rain
