City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Kasongo-Lunda,CD,87.28,overcast clouds,-6.4667,16.8167,
288,Indramayu,ID,83.93,broken clouds,-6.3264,108.32,Grand Trisula Hotel
289,Chipiona,ES,80.6,clear sky,36.7366,-6.437,Al Sur De Chipiona
291,Arys,KZ,87.8,clear sky,42.4252,68.795,Gostinitsa
293,Wanning,CN,86.7,broken clouds,18.8003,110.3967,Paradise Hotel
298,Semey,KZ,82.4,clear sky,50.4111,80.2275,Grand Hotel Semey
300,Malambo,CO,80.6,broken clouds,10.8595,-74.7739,Hotel Baly Express
303,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
304,Sangueya,GN,83.17,overcast clouds,10.7,-14.3667,
308,Gbarnga,LR,82.42,overcast clouds,6.9956,-9.4722,Passion Hotel 2
311,Polovinnoye,RU,89.92,few clouds,54.7914,65.9864,
313,Kerman,IR,84.2,scattered clouds,30.2832,57.0788,هتل آپارتمان آسام
315,Sokoni,TZ,86.0,light rain,-6.4333,39.55,Ujamaa Beach Resort
317,Lorengau,PG,81.54,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
318,Sambava,MG,82.13,scattered clouds,-14.2667,50.1667,Melrose
334,Takoradi,GH,85.21,overcast clouds,4.8845,-1.7554,Raybow International Hotel
336,Gizo,SB,84.15,overcast clouds,-8.103,156.8419,Imagination Island
337,Yanam,IN,96.8,scattered clouds,16.7333,82.2167,The Regency Hotel
338,Magaria,NE,99.61,few clouds,12.9983,8.9099,Chez Honorable Chapiou
339,Zhuhai,CN,87.8,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
340,Kontagora,NG,88.14,overcast clouds,10.3999,5.4695,Queens Guest Inn
341,San Pedro,PH,91.4,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
342,Lisakovsk,KZ,90.81,clear sky,52.5369,62.4936,Gostinitsa Lisakovsk
348,Hami,CN,80.04,broken clouds,42.8,93.45,Laoyutang Resort
357,San Policarpo,PH,82.51,moderate rain,12.1791,125.5072,JM Lodge
364,Pasighat,IN,84.81,broken clouds,28.0667,95.3333,Siang Guest House
377,Sadovoye,RU,89.24,broken clouds,47.7764,44.5089,Putnik
378,Dalbandin,PK,97.21,clear sky,28.8947,64.4101,Sanjrani House
387,Bekobod,UZ,89.6,few clouds,40.2208,69.2697,Metallurg
389,Edd,ER,93.67,clear sky,13.9297,41.6925,
391,Jiwani,PK,92.01,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
402,Hambantota,LK,93.2,scattered clouds,6.1241,81.1185,Bungalow 63
408,Ca Mau,VN,88.16,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
411,Mpongwe,ZM,82.06,clear sky,-13.5091,28.155,GCMF Office & Lodge
417,Tiznit,MA,80.11,clear sky,29.5833,-9.5,
419,Sosva,RU,82.06,broken clouds,59.1766,61.8558,Gostinitsa
