City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Eirunepe,BR,2021-05-12 04:54:59,-6.6603,-69.8736,71.85,99,91,0.96
68,Airai,TL,2021-05-12 04:54:14,-8.9266,125.4092,74.14,53,11,4.47
69,Omsukchan,RU,2021-05-12 04:55:00,62.5333,155.8,31.06,81,100,6.98
70,Moron,AR,2021-05-12 04:55:00,-34.6534,-58.6198,48.99,88,0,3.44
71,Tacoronte,ES,2021-05-12 04:55:01,28.4769,-16.4102,62.01,82,75,23.02
72,Santarem,BR,2021-05-12 04:55:01,-2.4431,-54.7083,80.6,89,75,9.22
73,Torbay,CA,2021-05-12 04:55:02,47.6666,-52.7314,42.01,93,75,10.36
74,Bambous Virieux,MU,2021-05-12 04:55:02,-20.3428,57.7575,80.01,88,20,10.25
75,Flin Flon,CA,2021-05-12 04:55:04,54.7682,-101.865,53.04,48,87,3.69
76,Vila Velha,BR,2021-05-12 04:55:04,-20.3297,-40.2925,70.0,94,0,2.3
77,Harlingen,US,2021-05-12 04:55:04,26.1906,-97.6961,82.99,89,75,10.36
78,Saint-Pierre,RE,2021-05-12 04:55:05,-21.3393,55.4781,78.8,57,0,2.3
79,Raymond,US,2021-05-12 04:55:05,43.9015,-70.4703,45.0,74,18,6.26
80,Petropavlovsk-Kamchatskiy,RU,2021-05-12 04:55:06,53.0452,158.6483,53.6,37,42,6.71
81,Blackwater,AU,2021-05-12 04:55:06,-23.5833,148.8833,85.64,37,0,4.5
82,Kununurra,AU,2021-05-12 04:55:07,-15.7667,128.7333,91.4,24,0,13.8
83,Ambilobe,MG,2021-05-12 04:55:07,-13.2,49.05,74.61,81,57,3.78
84,Kochubey,RU,2021-05-12 04:55:07,44.3861,46.5825,60.04,61,2,1.59
85,Inuvik,CA,2021-05-12 04:55:08,68.3499,-133.7218,37.4,64,94,10.36
86,Sitka,US,2021-05-12 04:55:08,57.0531,-135.33,46.4,76,90,5.75
87,Shenkursk,RU,2021-05-12 04:55:09,62.1091,42.896,64.31,57,93,8.3
88,Port Lincoln,AU,2021-05-12 04:55:09,-34.7333,135.8667,62.44,51,15,4.88
89,Chicama,PE,2021-05-12 04:55:10,-7.8447,-79.1469,66.88,77,4,5.91
90,Avarua,CK,2021-05-12 04:55:10,-21.2078,-159.775,71.6,100,75,5.75
91,Mattru,SL,2021-05-12 04:55:10,7.6244,-11.8332,74.44,97,100,1.1
92,Pochutla,MX,2021-05-12 04:55:11,15.7432,-96.4661,82.0,79,43,4.0
93,Onega,RU,2021-05-12 04:55:11,63.9061,38.1404,60.15,63,69,10.54
94,Ixtapa,MX,2021-05-12 04:55:11,20.7,-105.2,81.0,83,90,2.33
95,Susaki,JP,2021-05-12 04:55:12,33.3667,133.2833,64.4,88,75,8.05
96,Port Elizabeth,ZA,2021-05-12 04:55:12,-33.918,25.5701,57.2,88,0,16.11
97,Havelock,US,2021-05-12 04:53:27,34.8791,-76.9013,59.0,88,1,4.61
98,Benguela,AO,2021-05-12 04:55:13,-12.5763,13.4055,75.25,76,3,3.2
99,Bengkulu,ID,2021-05-12 04:55:13,-3.8004,102.2655,85.3,73,65,6.6
100,Tsiroanomandidy,MG,2021-05-12 04:55:13,-18.7667,46.0333,65.44,74,3,3.0
